,sectorline,coords
209,LTC19a,+511117.000-0010636.000/+511735.000-0010335.000/+513037.000-0003830.000
210,LTC19b,+504928.000-0011714.000/+505538.000-0011313.000/+511117.000-0010636.000
211,LTC20,+505511.700-0013048.700/+504944.390-0013435.400/+504928.000-0011714.000
212,LTC21a,+513943.000-0012646.000/+513601.000-0012453.000/+513532.000-0012102.000/+511617.000-0012057.000/+511350.000-0012159.000
213,LTC21b,+511350.000-0012159.000/+505858.000-0012810.000/+505511.700-0013048.700
214,LTC22a,+505511.700-0013048.700/+505334.000-0014051.000/+510038.000-0013541.000/+511306.000-0013031.000
215,LTC22b,+511306.000-0013031.000/+511837.792-0012813.800/+512624.000-0012933.000/+514055.000-0013458.000
216,LTC22c,+514055.000-0013458.000/+513943.000-0012646.000
217,LTC23a,+513943.000-0012646.000/+513423.000-0011138.000
218,LTC23b,+513423.000-0011138.000/+513037.000-0003830.000
219,LTC24,+513037.000-0003830.000/+512904.000-0002753.000
220,LTC26,+504928.000-0011714.000/+504925.500-0011538.000
221,LTC27,+511306.000-0013031.000/+511350.000-0012159.000
222,LTC28,+510853.000-0001125.000/+511751.000+0001010.000/+512715.000+0003300.000
223,LTC29,+514255.900-0003354.000/+512904.000-0002753.000
224,LTC30,+511350.000-0012159.000/+511117.000-0010636.000
225,LTC31,+511117.000-0010636.000/+504626.000-0004942.000
226,LTC32,+504626.000-0004942.000/+510853.000-0001125.000
227,LTC33a,+520713.000+0005149.000/+514827.000+0013643.000
228,LTC33b,+514827.000+0013643.000/+512430.000+0013643.000
229,LTC34a,+521104.000+0000528.000/+521104.000+0003242.000/+521221.000+0004819.000
230,LTC34b,+521221.000+0004819.000/+520713.000+0005149.000
231,LTC35,+515702.160+0022122.620/+515619.000+0015102.000/+514827.000+0013643.000
232,LTC36,+514503.000+0005032.000/+514827.000+0013643.000
233,LTC37,+521221.000+0004819.000/+522530.652+0010440.255
234,LTC38,+521104.000+0002616.414/+520110.326+0002616.414
235,LTC39,+520110.326+0002616.414/+515236.045+0002616.414
236,LTC40,+520110.326+0002616.414/+515126.934+0001137.844
237,LTC41,+515236.045+0002616.414/+515421.764+0004840.332/+514503.000+0005032.000
238,LTC42,+515126.934+0001137.844/+515236.045+0002616.414
239,LTC43,+515022.063-0000206.831/+515126.934+0001137.844
240,LTC44,+514804.000-0001114.000/+515022.063-0000206.831
241,London AC West L18 BADSI-LIPGO,+525700.000-0053000.000/+523550.000-0045151.000/+524310.000-0044042.000/+531035.000-0053000.000/+525700.000-0053000.000
242,ME1,+532125.000-0021544.000/+524817.000-0014623.000/+524448.000-0014310.000/+523259.000-0013025.000
243,ME2,+531017.000-0012043.000/+530642.000-0004627.000
244,ME3,+541500.000-0021000.000/+541519.000-0020855.000
245,MWDW1,+534813.000-0050951.000/+534735.000-0044937.000
246,MWDW2,+534735.000-0044937.000/+532240.000-0045146.000
247,MWDW3,+532240.000-0045146.000/+531041.000-0045249.000/+531112.000-0050859.000
248,MWDW4,+531148.000-0052960.000/+532353.000-0053000.000
249,MWDW5,+532353.000-0053000.000/+534847.000-0053000.000
250,MWDW6,+532353.000-0053000.000/+532240.000-0045146.000
251,MW1,+534735.000-0044937.000/+534658.500-0043025.000
252,MW2,+534658.500-0043025.000/+535419.000-0042150.000/+535420.000-0040737.000
253,MW3,+535420.000-0040737.000/+534149.000-0033649.000/+534125.000-0032734.000
254,MW4,+532240.000-0045146.000/+531957.000-0033953.000/+531225.000-0032535.000
255,MW5,+531225.000-0032535.000/+530812.000-0031736.000/+525423.000-0031839.500
256,MW6,+534125.000-0032734.000/+532318.000-0032449.000/+531225.000-0032535.000
257,MW7,+534125.000-0032734.000/+533910.000-0023952.000
258,MW8,+531225.000-0032535.000/+525433.000-0032659.000
259,MWSR1,+534658.500-0043025.000/+535419.000-0042150.000/+535420.000-0040737.000
260,MWSA1,+534813.000-0050951.000/+543010.000-0033535.000
261,MWSA2,+534847.000-0053000.000/+534813.000-0050951.000
262,MWE1,+525046.000-0024529.000/+530006.000-0024504.000/+532125.000-0021544.000
263,MWE2,+532125.000-0021544.000/+532356.000-0015955.000/+532124.000-0013205.000
264,MWE3,+541500.000-0021000.000/+532804.000-0013856.000/+532124.000-0013205.000
